Winner,Score,Rounds,Score Threshold,Dice Threshold,Consider Score,Consider Dice,Smart
Player 173,10950,15,,,,,
Player 180,10900,21,,,,,
Player 181,10500,18,,,,,
Player 187,10150,20,,,,,
Player 195,11250,12,,,,,
Player 200,10450,13,,,,,
Player 203,10100,21,,,,,
Player 210,10000,18,,,,,
Player 213,10050,9,,,,,
Player 217,10850,11,,,,,
Player 222,10900,16,,,,,
Player 226,10400,15,,,,,
Player 232,10750,13,,,,,
Player 239,10850,13,,,,,
Player 243,10800,15,,,,,
Player 248,11850,16,,,,,
Player 254,10700,17,,,,,
Player 257,10100,24,,,,,
Player 262,11650,20,,,,,
Player 266,10550,17,,,,,
Player 274,11000,14,,,,,
Player 277,10050,8,,,,,
Player 285,14500,11,,,,,
Player 286,10100,19,,,,,
Player 291,11700,19,,,,,
Player 296,10150,19,,,,,
Player 301,12350,21,,,,,
Player 310,10750,16,,,,,
Player 311,10750,12,,,,,
Player 317,10650,22,,,,,
Player 321,10000,13,,,,,
Player 329,10950,21,,,,,
Player 334,11350,15,,,,,
Player 338,11350,27,,,,,
Player 343,10250,15,,,,,
Player 349,10300,19,,,,,
Player 351,10150,15,,,,,
Player 360,10300,11,,,,,
Player 361,10350,22,,,,,
Player 370,12450,21,,,,,
Player 371,11150,14,,,,,
Player 380,10050,14,,,,,
Player 383,10200,19,,,,,
Player 389,11200,14,,,,,
Player 395,10050,10,,,,,
Player 397,10450,19,,,,,
Player 404,12750,18,,,,,
Player 406,10300,18,,,,,
Player 412,12850,15,,,,,
Player 417,10400,17,,,,,
Player 424,10150,22,,,,,
Player 426,10050,17,,,,,
Player 435,10450,16,,,,,
Player 440,10300,15,,,,,
Player 443,11400,25,,,,,
Player 450,10200,17,,,,,
Player 453,10050,24,,,,,
Player 456,11450,13,,,,,
Player 462,10350,12,,,,,
Player 469,12900,19,,,,,
Player 473,11050,11,,,,,
Player 476,10050,19,,,,,
Player 482,11050,20,,,,,
Player 490,10150,16,,,,,
Player 495,10250,17,,,,,
Player 500,11050,19,,,,,
Player 505,10600,15,,,,,
Player 509,10500,22,,,,,
Player 514,10550,22,,,,,
Player 519,11000,22,,,,,
Player 523,10150,19,,,,,
Player 530,10100,16,,,,,
Player 531,10950,21,,,,,
Player 538,10300,23,,,,,
Player 545,10550,17,,,,,
Player 548,10250,21,,,,,
Player 555,13350,17,,,,,
Player 560,10250,16,,,,,
Player 563,10350,19,,,,,
Player 567,10300,20,,,,,
Player 573,10350,12,,,,,
Player 578,10250,15,,,,,
Player 582,10100,17,,,,,
Player 587,10750,26,,,,,
Player 595,10100,15,,,,,
Player 598,11600,21,,,,,
Player 602,11650,20,,,,,
Player 607,10600,19,,,,,
Player 615,10300,8,,,,,
Player 617,10100,13,,,,,
Player 624,10950,23,,,,,
Player 626,11200,16,,,,,
Player 632,10150,14,,,,,
Player 640,11800,20,,,,,
Player 645,10350,15,,,,,
Player 650,10000,20,,,,,
Player 654,10150,12,,,,,
Player 659,10250,19,,,,,
Player 661,10650,19,,,,,
Player 669,11400,22,,,,,
Player 671,10750,13,,,,,
Player 678,11150,17,,,,,
Player 682,11550,29,,,,,
Player 689,12150,19,,,,,
Player 694,10550,9,,,,,
Player 699,10900,13,,,,,
Player 705,10600,16,,,,,
Player 709,11500,8,,,,,
Player 714,11700,21,,,,,
Player 718,10950,22,,,,,
Player 725,10050,10,,,,,
Player 727,10300,12,,,,,
Player 732,10200,15,,,,,
Player 737,12100,23,,,,,
Player 742,10700,15,,,,,
Player 747,10150,21,,,,,
Player 752,10500,20,,,,,
Player 756,11600,15,,,,,
Player 763,12400,12,,,,,
Player 766,10500,15,,,,,
Player 773,10000,13,,,,,
Player 779,10200,18,,,,,
Player 781,10300,21,,,,,
Player 790,12850,17,,,,,
Player 792,12050,15,,,,,
Player 799,11000,15,,,,,
Player 4,11400,9,,,,,
Player 10,11200,13,,,,,
Player 13,11550,18,,,,,
Player 18,10400,18,,,,,
Player 22,10050,11,,,,,
Player 29,10150,12,,,,,
Player 33,10800,21,,,,,
Player 37,10100,12,,,,,
Player 41,10200,19,,,,,
Player 46,10300,19,,,,,
Player 53,10850,12,,,,,
Player 56,10300,22,,,,,
Player 63,10450,15,,,,,
Player 66,10200,14,,,,,
Player 75,10100,8,,,,,
Player 78,10200,21,,,,,
Player 82,10400,16,,,,,
Player 87,10650,25,,,,,
Player 95,10450,21,,,,,
Player 100,11550,21,,,,,
Player 102,10000,15,,,,,
Player 106,10600,13,,,,,
Player 115,10300,18,,,,,
Player 118,10100,19,,,,,
Player 123,11350,20,,,,,
Player 127,10650,18,,,,,
Player 135,10750,15,,,,,
Player 138,10550,10,,,,,
Player 145,10500,20,,,,,
Player 149,10200,17,,,,,
Player 151,10000,20,,,,,
Player 159,10150,10,,,,,
Player 163,10450,17,,,,,
Player 169,10200,15,,,,,
Player 175,10300,20,,,,,
Player 178,11000,23,,,,,
Player 183,10000,17,,,,,
Player 188,10750,17,,,,,
Player 195,11300,16,,,,,
Player 197,10650,19,,,,,
Player 205,10400,7,,,,,
Player 208,10700,12,,,,,
Player 212,10600,15,,,,,
Player 220,10050,15,,,,,
Player 223,10500,22,,,,,
Player 227,10100,20,,,,,
Player 234,10500,22,,,,,
Player 240,10600,24,,,,,
Player 241,10150,19,,,,,
Player 249,10700,19,,,,,
Player 253,10550,21,,,,,
Player 260,10650,20,,,,,
Player 262,11550,22,,,,,
Player 268,11450,22,,,,,
Player 271,10800,11,,,,,
Player 278,10000,15,,,,,
Player 284,12900,21,,,,,
Player 289,10250,15,,,,,
Player 292,10200,14,,,,,
Player 299,10200,18,,,,,
Player 304,11550,14,,,,,
Player 306,12400,15,,,,,
Player 315,10650,17,,,,,
Player 319,17100,15,,,,,
Player 322,10950,14,,,,,
Player 329,11500,21,,,,,
Player 335,11200,16,,,,,
Player 340,12550,21,,,,,
Player 345,11600,14,,,,,
Player 347,10300,12,,,,,
Player 351,10450,14,,,,,
Player 357,11050,17,,,,,
Player 363,10050,18,,,,,
Player 370,10950,13,,,,,
Player 373,12600,18,,,,,
Player 378,10250,12,,,,,
Player 385,11450,10,,,,,
Player 387,10300,14,,,,,
Player 391,10600,15,,,,,
Player 399,10250,18,,,,,
Player 401,11000,18,,,,,
Player 407,10000,15,,,,,
Player 413,11100,12,,,,,
Player 416,10050,15,,,,,
Player 422,10250,17,,,,,
Player 427,10550,13,,,,,
Player 433,10550,12,,,,,
Player 438,11500,15,,,,,
Player 443,12100,15,,,,,
Player 446,11250,16,,,,,
Player 453,11350,25,,,,,
Player 460,10100,17,,,,,
Player 465,10250,18,,,,,
Player 468,10200,20,,,,,
Player 473,10000,17,,,,,
Player 478,12100,12,,,,,
Player 485,10400,7,,,,,
Player 487,11900,16,,,,,
Player 493,10000,17,,,,,
Player 497,10000,17,,,,,
Player 501,10600,16,,,,,
Player 506,10000,22,,,,,
Player 515,10250,15,,,,,
Player 520,10600,13,,,,,
Player 523,10700,14,,,,,
Player 527,10550,15,,,,,
Player 533,10550,14,,,,,
Player 539,10850,15,,,,,
Player 542,10200,17,,,,,
Player 549,10200,14,,,,,
Player 552,10750,21,,,,,
Player 556,10450,19,,,,,
Player 565,11150,15,,,,,
Player 569,10450,12,,,,,
Player 574,12850,24,,,,,
Player 578,10150,19,,,,,
Player 585,10450,20,,,,,
Player 587,10250,19,,,,,
Player 592,10050,22,,,,,
Player 598,10450,7,,,,,
Player 601,10300,12,,,,,
Player 608,10300,17,,,,,
Player 615,10200,18,,,,,
Player 616,10250,26,,,,,
Player 625,10950,18,,,,,
Player 628,10650,16,,,,,
Player 634,10250,18,,,,,
Player 636,10750,14,,,,,
Player 645,10650,19,,,,,
Player 648,11000,18,,,,,
Player 651,10000,14,,,,,
Player 657,10000,16,,,,,
Player 664,10700,24,,,,,
Player 668,11850,16,,,,,
Player 673,12700,17,,,,,
Player 680,10450,23,,,,,
Player 681,11000,20,,,,,
Player 690,10750,15,,,,,
Player 693,10350,15,,,,,
Player 698,10050,12,,,,,
Player 702,10650,27,,,,,
Player 706,10200,7,,,,,
Player 714,10250,19,,,,,
Player 717,11250,26,,,,,
Player 723,10350,18,,,,,
Player 728,10700,20,,,,,
Player 732,10000,24,,,,,
Player 737,10600,15,,,,,
Player 743,10000,15,,,,,
Player 747,11550,19,,,,,
Player 755,10050,20,,,,,
Player 756,10000,18,,,,,
Player 764,10350,25,,,,,
Player 767,10400,22,,,,,
Player 775,10600,26,,,,,
Player 778,10950,14,,,,,
Player 785,10000,14,,,,,
Player 788,12100,14,,,,,
Player 792,10600,17,,,,,
Player 799,11400,20,,,,,
Player 3,10100,17,,,,,
Player 10,10100,22,,,,,
Player 15,10200,20,,,,,
Player 19,10550,14,,,,,
Player 24,10150,19,,,,,
Player 30,10000,17,,,,,
Player 31,11200,18,,,,,
Player 38,10600,17,,,,,
Player 43,10200,14,,,,,
Player 47,10850,14,,,,,
Player 52,10300,19,,,,,
Player 60,10200,13,,,,,
Player 64,10300,19,,,,,
Player 70,10300,17,,,,,
Player 74,10050,17,,,,,
Player 80,10350,22,,,,,
Player 83,10000,15,,,,,
Player 90,10050,14,,,,,
Player 91,10200,12,,,,,
Player 97,10800,20,,,,,
Player 102,10950,14,,,,,
Player 110,10200,17,,,,,
Player 113,10700,16,,,,,
Player 118,10900,19,,,,,
Player 123,10800,20,,,,,
Player 130,13150,19,,,,,
Player 134,11000,12,,,,,
Player 136,11450,16,,,,,
Player 142,10350,16,,,,,
Player 147,11500,19,,,,,
Player 152,10700,14,,,,,
Player 158,10150,16,,,,,
Player 165,11900,12,,,,,
Player 170,10150,18,,,,,
Player 172,10800,18,,,,,
Player 177,10250,12,,,,,
Player 183,10300,20,,,,,
Player 188,10000,28,,,,,
Player 192,11600,14,,,,,
Player 200,11500,23,,,,,
Player 202,10300,12,,,,,
Player 210,11000,23,,,,,
Player 213,11100,19,,,,,
Player 218,11600,11,,,,,
Player 223,10250,18,,,,,
Player 229,10500,20,,,,,
Player 231,11600,17,,,,,
Player 239,12700,15,,,,,
Player 245,10250,13,,,,,
Player 248,10200,24,,,,,
Player 252,10450,18,,,,,
Player 259,10300,16,,,,,
Player 262,12850,15,,,,,
Player 267,10100,19,,,,,
Player 275,10050,18,,,,,
Player 278,10100,17,,,,,
Player 282,10300,22,,,,,
Player 288,10100,20,,,,,
Player 293,10250,14,,,,,
Player 298,10650,13,,,,,
Player 304,10600,18,,,,,
Player 308,10350,17,,,,,
Player 311,10050,13,,,,,
Player 318,10150,16,,,,,
Player 323,10600,22,,,,,
Player 326,11500,15,,,,,
Player 334,10400,19,,,,,
Player 340,10300,17,,,,,
Player 343,10100,14,,,,,
Player 350,11100,21,,,,,
Player 352,10600,14,,,,,
Player 356,10700,21,,,,,
Player 364,10650,17,,,,,
Player 366,11050,17,,,,,
Player 372,11800,20,,,,,
Player 380,11000,17,,,,,
Player 382,10150,13,,,,,
Player 388,10150,19,,,,,
Player 391,12200,12,,,,,
Player 398,10500,17,,,,,
Player 404,10450,20,,,,,
Player 410,11150,16,,,,,
Player 411,10100,15,,,,,
Player 416,11000,20,,,,,
Player 422,10800,18,,,,,
Player 426,11550,26,,,,,
Player 432,10150,19,,,,,
Player 436,10800,15,,,,,
Player 444,10300,15,,,,,
Player 450,10200,13,,,,,
Player 451,10150,21,,,,,
Player 456,12500,16,,,,,
Player 462,10100,11,,,,,
Player 469,10150,15,,,,,
Player 475,10750,14,,,,,
Player 480,11000,16,,,,,
Player 483,10750,17,,,,,
Player 489,10600,16,,,,,
Player 492,10000,18,,,,,
Player 496,11100,18,,,,,
Player 502,10050,13,,,,,
Player 506,11100,19,,,,,
Player 511,10250,17,,,,,
Player 518,10050,15,,,,,
Player 521,10000,10,,,,,
Player 530,10000,15,,,,,
Player 535,10500,14,,,,,
Player 540,11550,14,,,,,
Player 545,10000,15,,,,,
Player 546,10300,14,,,,,
Player 555,10750,20,,,,,
Player 558,10400,12,,,,,
Player 563,10650,18,,,,,
Player 569,10200,21,,,,,
Player 574,10200,20,,,,,
Player 579,10100,13,,,,,
Player 584,10900,19,,,,,
Player 586,11200,16,,,,,
Player 592,11550,16,,,,,
Player 597,10000,11,,,,,
Player 605,10250,21,,,,,
Player 610,10750,15,,,,,
Player 612,10200,22,,,,,
Player 619,10000,20,,,,,
Player 623,11250,17,,,,,
Player 627,12750,16,,,,,
Player 633,10300,16,,,,,
Player 637,11700,15,,,,,
Player 643,10250,13,,,,,
Player 647,10700,20,,,,,
Player 651,10150,19,,,,,
Player 657,10550,18,,,,,
Player 665,10400,18,,,,,
Player 669,10700,17,,,,,
Player 674,10300,18,,,,,
Player 676,10650,12,,,,,
Player 683,11250,23,,,,,
Player 690,10950,16,,,,,
Player 695,10550,6,,,,,
Player 700,10000,20,,,,,
Player 702,10050,21,,,,,
Player 709,10750,15,,,,,
Player 713,11950,15,,,,,
Player 719,12100,26,,,,,
Player 722,10350,16,,,,,
Player 727,10050,18,,,,,
Player 732,11650,18,,,,,
Player 738,10100,17,,,,,
Player 742,10450,18,,,,,
Player 748,11850,17,,,,,
Player 755,10450,19,,,,,
Player 757,10250,12,,,,,
Player 762,10300,14,,,,,
Player 767,10350,23,,,,,
Player 773,12100,25,,,,,
Player 779,11450,17,,,,,
Player 781,11700,20,,,,,
Player 789,10650,20,,,,,
Player 793,10550,18,,,,,
Player 799,10000,13,,,,,
Player 1,11050,20,,,,,
Player 10,10500,20,,,,,
Player 12,10100,21,,,,,
Player 19,10350,11,,,,,
Player 21,10700,19,,,,,
Player 28,10050,19,,,,,
Player 33,10050,14,,,,,
Player 37,10000,16,,,,,
Player 45,10650,18,,,,,
Player 46,10100,17,,,,,
Player 52,12000,18,,,,,
Player 60,10200,16,,,,,
Player 61,10250,19,,,,,
Player 70,12000,19,,,,,
Player 71,11500,13,,,,,
Player 79,10500,12,,,,,
Player 83,11750,15,,,,,
Player 87,11050,18,,,,,
Player 93,10300,18,,,,,
Player 100,11650,19,,,,,
Player 101,11900,12,,,,,
Player 110,10750,22,,,,,
Player 114,12050,17,,,,,
Player 117,10300,18,,,,,
Player 125,12200,18,,,,,
Player 129,10100,14,,,,,
Player 133,10200,12,,,,,
Player 140,10500,15,,,,,
Player 143,11050,20,,,,,
Player 149,10650,19,,,,,
Player 155,10000,19,,,,,
Player 160,11000,9,,,,,
Player 161,10200,15,,,,,
Player 169,10050,23,,,,,
Player 173,10400,19,,,,,
Player 180,10800,14,,,,,
Player 182,10050,26,,,,,
Player 190,10150,22,,,,,
Player 192,10300,23,,,,,
Player 199,10150,22,,,,,
Player 203,11500,11,,,,,
Player 210,11200,16,,,,,
Player 212,10550,25,,,,,
Player 219,10150,14,,,,,
Player 225,10150,27,,,,,
Player 226,10450,17,,,,,
Player 235,11050,22,,,,,
Player 237,10150,18,,,,,
Player 243,10800,20,,,,,
Player 246,10650,21,,,,,
Player 255,10450,18,,,,,
Player 258,10650,16,,,,,
Player 265,10100,21,,,,,
Player 269,10000,11,,,,,
Player 274,10000,17,,,,,
Player 280,10050,11,,,,,
Player 281,10150,20,,,,,
Player 288,10950,19,,,,,
Player 293,11250,12,,,,,
Player 297,10200,15,,,,,
Player 304,10000,13,,,,,
Player 307,10350,28,,,,,
Player 315,10800,16,,,,,
Player 319,10750,23,,,,,
Player 324,10250,18,,,,,
Player 329,10450,19,,,,,
Player 332,10700,15,,,,,
Player 336,10000,23,,,,,
Player 343,10350,25,,,,,
Player 350,11900,21,,,,,
Player 353,11250,16,,,,,
Player 356,10100,22,,,,,
Player 363,11500,18,,,,,
Player 369,11300,16,,,,,
Player 375,10150,18,,,,,
Player 378,10150,18,,,,,
Player 381,10500,17,,,,,
Player 389,13800,16,,,,,
Player 391,10000,17,,,,,
Player 397,11150,22,,,,,
Player 403,10750,14,,,,,
Player 406,13150,10,,,,,
Player 415,10150,20,,,,,
Player 416,10250,20,,,,,
Player 424,10450,21,,,,,
Player 428,10300,15,,,,,
Player 433,11350,26,,,,,
Player 438,11050,16,,,,,
Player 443,10000,15,,,,,
Player 448,10000,20,,,,,
Player 451,10050,10,,,,,
Player 457,12100,15,,,,,
Player 463,13350,17,,,,,
Player 466,10000,13,,,,,
Player 472,10300,20,,,,,
Player 480,10000,18,,,,,
Player 485,10800,18,,,,,
Player 487,11000,12,,,,,
Player 493,13100,18,,,,,
Player 499,10150,12,,,,,
Player 501,10500,17,,,,,
Player 506,10100,20,,,,,
Player 512,10050,13,,,,,
Player 519,10000,16,,,,,
Player 525,10800,11,,,,,
Player 526,10400,22,,,,,
Player 535,12200,14,,,,,
Player 538,10150,14,,,,,
Player 544,10300,20,,,,,
Player 546,10000,14,,,,,
Player 554,10550,18,,,,,
Player 560,10450,15,,,,,
Player 561,10300,11,,,,,
Player 566,10300,17,,,,,
Player 574,10250,26,,,,,
Player 579,10100,13,,,,,
Player 581,11250,17,,,,,
Player 588,10500,21,,,,,
Player 591,10250,15,,,,,
Player 599,10900,22,,,,,
Player 605,10400,21,,,,,
Player 608,10000,12,,,,,
Player 614,10850,25,,,,,
Player 617,10650,21,,,,,
Player 623,13000,13,,,,,
Player 628,11700,18,,,,,
Player 633,12250,19,,,,,
Player 636,10050,21,,,,,
Player 644,10050,19,,,,,
Player 648,10250,18,,,,,
Player 652,10150,19,,,,,
Player 660,10450,16,,,,,
Player 665,10450,23,,,,,
Player 670,11650,18,,,,,
Player 673,10100,13,,,,,
Player 677,10350,16,,,,,
Player 685,10300,17,,,,,
Player 690,11350,14,,,,,
Player 693,11750,12,,,,,
Player 698,10750,17,,,,,
Player 701,11900,11,,,,,
Player 709,10600,18,,,,,
Player 713,10200,23,,,,,
Player 720,10150,19,,,,,
Player 722,10000,16,,,,,
Player 729,13300,25,,,,,
Player 732,10750,10,,,,,
Player 740,10200,16,,,,,
Player 741,10600,19,,,,,
Player 747,10250,13,,,,,
Player 752,10300,15,,,,,
Player 757,10250,15,,,,,
Player 762,10250,19,,,,,
Player 766,11000,14,,,,,
Player 775,10450,14,,,,,
Player 776,11100,17,,,,,
Player 781,10900,16,,,,,
Player 787,10250,16,,,,,
Player 794,10650,22,,,,,
Player 799,10850,22,,,,,
Player 3,10850,23,,,,,
Player 7,11200,17,,,,,
Player 15,10850,17,,,,,
Player 19,10900,19,,,,,
Player 22,10050,12,,,,,
Player 30,10000,12,,,,,
Player 33,10100,20,,,,,
Player 38,10950,20,,,,,
Player 43,10650,23,,,,,
Player 46,10050,19,,,,,
Player 52,10800,16,,,,,
Player 58,10900,12,,,,,
Player 61,10050,17,,,,,
Player 68,11100,20,,,,,
Player 74,10000,17,,,,,
Player 76,10950,17,,,,,
Player 82,11000,14,,,,,
Player 86,10300,16,,,,,
Player 93,10850,18,,,,,
Player 98,10350,23,,,,,
Player 105,11200,17,,,,,
Player 107,10300,18,,,,,
Player 111,10450,18,,,,,
Player 120,10050,11,,,,,
Player 123,10500,21,,,,,
Player 128,10000,21,,,,,
Player 134,10450,9,,,,,
Player 137,10300,15,,,,,
Player 145,10500,20,,,,,
Player 149,10800,19,,,,,
Player 153,11250,18,,,,,
Player 157,10100,17,,,,,
Player 163,11100,18,,,,,
Player 166,10200,17,,,,,
Player 175,10250,12,,,,,
Player 180,10750,17,,,,,
Player 183,10300,10,,,,,
Player 187,10100,13,,,,,
Player 192,10350,23,,,,,
Player 196,10100,19,,,,,
Player 201,10650,12,,,,,
Player 208,10800,21,,,,,
Player 215,10200,11,,,,,
Player 220,11000,22,,,,,
Player 223,10300,20,,,,,
Player 226,10700,21,,,,,
Player 231,10300,14,,,,,
Player 237,10650,19,,,,,
Player 245,10100,15,,,,,
Player 247,11500,19,,,,,
Player 255,10150,16,,,,,
Player 258,12350,17,,,,,
Player 261,10250,22,,,,,
Player 268,11200,17,,,,,
Player 271,10200,22,,,,,
Player 277,10700,17,,,,,
Player 283,10300,16,,,,,
Player 288,10050,20,,,,,
Player 294,10450,23,,,,,
Player 299,10000,14,,,,,
Player 304,12150,18,,,,,
Player 307,11350,20,,,,,
Player 312,11100,14,,,,,
Player 320,10100,15,,,,,
Player 324,10150,14,,,,,
Player 326,10850,14,,,,,
Player 334,11050,15,,,,,
Player 336,10150,16,,,,,
Player 342,10450,14,,,,,
Player 346,10100,22,,,,,
Player 353,10350,19,,,,,
Player 360,11750,14,,,,,
Player 361,10100,18,,,,,
Player 368,10350,26,,,,,
Player 373,10750,14,,,,,
Player 377,11100,19,,,,,
Player 382,10100,15,,,,,
Player 388,14000,23,,,,,
Player 391,10200,11,,,,,
Player 396,11500,16,,,,,
Player 403,11550,11,,,,,
Player 408,11500,23,,,,,
Player 415,11000,21,,,,,
Player 417,10050,17,,,,,
Player 424,10850,16,,,,,
Player 429,10400,18,,,,,
Player 433,11850,20,,,,,
Player 437,11000,20,,,,,
Player 443,10550,7,,,,,
Player 450,11450,14,,,,,
Player 451,12000,17,,,,,
Player 458,10000,13,,,,,
Player 461,10000,18,,,,,
Player 468,10000,19,,,,,
Player 474,10300,22,,,,,
Player 476,11450,19,,,,,
Player 483,11550,16,,,,,
Player 489,10000,11,,,,,
Player 493,10550,14,,,,,
Player 496,10250,21,,,,,
Player 502,10100,18,,,,,
Player 509,10100,17,,,,,
Player 514,11800,13,,,,,
Player 520,12550,20,,,,,
Player 522,10600,13,,,,,
Player 529,10550,14,,,,,
Player 534,10000,11,,,,,
Player 536,10100,24,,,,,
Player 544,10500,18,,,,,
Player 546,11000,18,,,,,
Player 553,10000,16,,,,,
Player 558,11450,18,,,,,
Player 562,11950,13,,,,,
Player 566,10100,15,,,,,
Player 571,10000,18,,,,,
Player 576,10000,11,,,,,
Player 582,10000,17,,,,,
Player 586,10050,18,,,,,
Player 593,11150,15,,,,,
Player 597,10750,17,,,,,
Player 602,11400,16,,,,,
Player 609,10500,18,,,,,
Player 613,10250,17,,,,,
Player 617,12900,9,,,,,
Player 624,10400,15,,,,,
Player 626,10400,16,,,,,
Player 631,11100,17,,,,,
Player 636,10200,20,,,,,
Player 643,10400,13,,,,,
Player 647,11500,12,,,,,
Player 654,10200,22,,,,,
Player 657,10550,12,,,,,
Player 661,10100,19,,,,,
Player 666,10150,19,,,,,
Player 674,11500,21,,,,,
Player 679,10000,20,,,,,
Player 685,10150,20,,,,,
Player 689,10100,23,,,,,
Player 692,10100,16,,,,,
Player 700,11350,24,,,,,
Player 703,10150,19,,,,,
Player 706,11500,19,,,,,
Player 715,10850,14,,,,,
Player 716,10750,18,,,,,
Player 721,10250,14,,,,,
Player 727,10850,18,,,,,
Player 731,11050,16,,,,,
Player 737,11050,21,,,,,
Player 741,10500,19,,,,,
Player 749,10300,17,,,,,
Player 755,10350,23,,,,,
Player 756,11000,18,,,,,
Player 761,11400,19,,,,,
Player 770,11650,17,,,,,
Player 775,11100,8,,,,,
Player 779,10150,24,,,,,
Player 784,10300,13,,,,,
Player 788,10350,17,,,,,
Player 792,10850,18,,,,,
Player 796,10450,20,,,,,
Player 5,10800,19,,,,,
Player 10,10200,14,,,,,
Player 12,10100,20,,,,,
Player 19,10400,20,,,,,
Player 23,11400,19,,,,,
Player 28,10350,20,,,,,
Player 31,10000,12,,,,,
Player 39,11800,16,,,,,
Player 43,10000,21,,,,,
Player 49,12450,13,,,,,
Player 55,11850,14,,,,,
Player 56,10350,18,,,,,
Player 61,11350,19,,,,,
Player 67,10250,20,,,,,
Player 74,11250,18,,,,,
Player 78,11000,20,,,,,
Player 84,10650,15,,,,,
Player 89,10350,16,,,,,
Player 92,11100,19,,,,,
Player 97,10450,19,,,,,
Player 103,10050,21,,,,,
Player 110,10150,17,,,,,
Player 113,10100,19,,,,,
Player 116,10600,23,,,,,
Player 125,11050,24,,,,,
Player 126,10300,19,,,,,
Player 133,10300,19,,,,,
Player 137,10200,18,,,,,
Player 145,10200,20,,,,,
Player 149,10050,17,,,,,
Player 155,10100,19,,,,,
Player 158,10650,13,,,,,
Player 162,12950,12,,,,,
Player 170,14000,17,,,,,
Player 175,10650,17,,,,,
Player 177,11600,14,,,,,
Player 182,11250,14,,,,,
Player 189,14600,16,,,,,
Player 194,10050,13,,,,,
Player 196,11250,24,,,,,
Player 204,10100,15,,,,,
Player 208,10100,18,,,,,
Player 214,10300,14,,,,,
Player 216,10650,16,,,,,
Player 224,10000,13,,,,,
Player 229,10100,20,,,,,
Player 235,12650,21,,,,,
Player 239,10150,12,,,,,
Player 243,12200,14,,,,,
Player 249,10000,11,,,,,
Player 255,11650,25,,,,,
Player 260,10350,15,,,,,
Player 264,10200,12,,,,,
Player 267,11250,15,,,,,
Player 274,12650,24,,,,,
Player 280,11300,16,,,,,
Player 283,10500,20,,,,,
Player 288,10800,14,,,,,
Player 294,10100,11,,,,,
Player 298,11250,11,,,,,
Player 304,10350,18,,,,,
Player 309,10600,18,,,,,
Player 312,10150,11,,,,,
Player 320,10050,15,,,,,
Player 324,11000,15,,,,,
Player 328,11750,22,,,,,
Player 332,11000,24,,,,,
Player 338,11250,17,,,,,
Player 342,11600,16,,,,,
Player 347,10700,19,,,,,
Player 352,10000,19,,,,,
Player 359,10150,13,,,,,
Player 363,10550,15,,,,,
Player 369,10000,15,,,,,
Player 371,10850,17,,,,,
Player 380,10700,14,,,,,
Player 383,10200,25,,,,,
Player 387,10350,20,,,,,
Player 391,11400,16,,,,,
Player 396,10650,18,,,,,
Player 403,11550,24,,,,,
Player 408,10500,24,,,,,
Player 411,10900,12,,,,,
Player 419,10300,23,,,,,
Player 422,10000,10,,,,,
Player 428,10000,20,,,,,
Player 433,10750,22,,,,,
Player 437,12700,20,,,,,
Player 443,10200,23,,,,,
Player 446,10100,5,,,,,
Player 454,10200,19,,,,,
Player 460,10300,19,,,,,
Player 465,11050,20,,,,,
Player 470,10550,18,,,,,
Player 471,11050,19,,,,,
Player 480,10000,12,,,,,
Player 484,10200,19,,,,,
Player 490,10050,21,,,,,
Player 495,10100,22,,,,,
Player 500,10800,14,,,,,
Player 505,10300,20,,,,,
Player 506,10000,15,,,,,
Player 513,12600,25,,,,,
Player 517,10350,17,,,,,
Player 522,10150,18,,,,,
Player 526,10050,23,,,,,
Player 531,10650,13,,,,,
Player 538,10100,14,,,,,
Player 543,10600,17,,,,,
Player 548,11500,18,,,,,
Player 552,12000,9,,,,,
Player 556,10200,23,,,,,
Player 562,10000,10,,,,,
Player 568,10100,14,,,,,
Player 574,10250,18,,,,,
Player 576,10300,22,,,,,
Player 584,10200,19,,,,,
Player 588,10050,18,,,,,
Player 591,11000,11,,,,,
Player 599,10200,17,,,,,
Player 601,10150,17,,,,,
Player 606,10000,15,,,,,
Player 615,10000,10,,,,,
Player 617,10050,25,,,,,
Player 624,10050,20,,,,,
Player 626,11200,15,,,,,
Player 633,11250,8,,,,,
Player 640,10050,19,,,,,
Player 642,11300,18,,,,,
Player 649,10900,25,,,,,
Player 654,10550,15,,,,,
Player 656,10200,16,,,,,
Player 664,10150,15,,,,,
Player 667,10100,17,,,,,
Player 671,10700,6,,,,,
Player 678,10000,8,,,,,
Player 685,10650,15,,,,,
Player 687,10000,19,,,,,
Player 694,12450,14,,,,,
Player 696,11450,24,,,,,
Player 704,11000,6,,,,,
Player 706,10100,23,,,,,
Player 714,11250,20,,,,,
Player 719,10050,15,,,,,
Player 725,10050,11,,,,,
Player 726,11250,18,,,,,
Player 735,10550,10,,,,,
Player 739,10050,17,,,,,
Player 744,11400,17,,,,,
Player 746,10050,22,,,,,
Player 753,10600,14,,,,,
Player 757,10100,12,,,,,
Player 765,10350,19,,,,,
Player 766,11500,21,,,,,
Player 774,10400,12,,,,,
Player 779,10000,22,,,,,
Player 782,10550,15,,,,,
Player 789,10100,13,,,,,
Player 792,10300,12,,,,,
Player 797,10700,16,,,,,
Player 1,10950,17,,,,,
Player 8,10100,17,,,,,
Player 11,10350,18,,,,,
Player 16,11750,22,,,,,
