Winner,Score,Rounds,Score Threshold,Dice Threshold,Consider Score,Consider Dice,Smart
Player 253,10800,19,,,,,
Player 260,10050,21,,,,,
Player 263,10000,11,,,,,
Player 269,10500,22,,,,,
Player 274,10150,11,,,,,
Player 279,10400,17,,,,,
Player 285,10000,13,,,,,
Player 287,10700,17,,,,,
Player 295,10300,10,,,,,
Player 296,10100,19,,,,,
Player 302,10000,19,,,,,
Player 306,10700,18,,,,,
Player 314,10750,14,,,,,
Player 319,10100,23,,,,,
Player 325,11350,21,,,,,
Player 330,10250,20,,,,,
Player 332,10550,12,,,,,
Player 336,10100,20,,,,,
Player 341,10200,22,,,,,
Player 347,12900,12,,,,,
Player 352,11400,20,,,,,
Player 357,10450,19,,,,,
Player 361,11100,12,,,,,
Player 366,10050,16,,,,,
Player 371,10500,19,,,,,
Player 376,10050,12,,,,,
Player 383,11400,14,,,,,
Player 387,10750,18,,,,,
Player 391,11350,17,,,,,
Player 400,11000,14,,,,,
Player 401,10050,16,,,,,
Player 408,10400,12,,,,,
Player 413,11900,12,,,,,
Player 417,10050,15,,,,,
Player 425,10000,14,,,,,
Player 428,10500,18,,,,,
Player 431,10350,20,,,,,
Player 438,10450,17,,,,,
Player 441,13050,21,,,,,
Player 449,10000,17,,,,,
Player 451,10250,20,,,,,
Player 459,11750,18,,,,,
Player 461,10950,24,,,,,
Player 468,10000,18,,,,,
Player 473,10650,23,,,,,
Player 479,11350,15,,,,,
Player 481,10050,18,,,,,
Player 486,11250,27,,,,,
Player 493,13100,20,,,,,
Player 499,10850,20,,,,,
Player 503,10000,20,,,,,
Player 507,11050,18,,,,,
Player 512,10450,21,,,,,
Player 517,10000,16,,,,,
Player 524,10000,19,,,,,
Player 530,13000,20,,,,,
Player 534,10050,9,,,,,
Player 536,10150,20,,,,,
Player 541,10600,22,,,,,
Player 547,10200,25,,,,,
Player 554,10250,19,,,,,
Player 560,10300,23,,,,,
Player 563,10200,22,,,,,
Player 566,10300,18,,,,,
Player 572,10050,11,,,,,
Player 579,11350,22,,,,,
Player 583,10050,17,,,,,
Player 586,12500,16,,,,,
Player 595,10600,20,,,,,
Player 597,11150,22,,,,,
Player 604,10350,18,,,,,
Player 609,11200,24,,,,,
Player 613,10400,16,,,,,
Player 616,10050,18,,,,,
Player 623,10500,19,,,,,
Player 630,11650,16,,,,,
Player 633,10200,16,,,,,
Player 637,12400,24,,,,,
Player 645,10300,15,,,,,
Player 646,10750,14,,,,,
Player 653,10400,16,,,,,
Player 659,10200,23,,,,,
Player 662,10500,13,,,,,
Player 666,10750,9,,,,,
Player 671,11300,16,,,,,
Player 676,10500,14,,,,,
Player 684,10450,13,,,,,
Player 689,10450,16,,,,,
Player 695,10100,13,,,,,
Player 698,10400,13,,,,,
Player 701,11450,12,,,,,
Player 708,10000,11,,,,,
Player 715,10650,24,,,,,
Player 719,10100,15,,,,,
Player 722,10050,14,,,,,
Player 730,10500,21,,,,,
Player 731,10300,15,,,,,
Player 739,10100,17,,,,,
Player 742,11350,16,,,,,
Player 750,10300,17,,,,,
Player 753,11500,10,,,,,
Player 757,10000,18,,,,,
Player 765,11500,19,,,,,
Player 770,10450,19,,,,,
Player 771,11250,22,,,,,
Player 778,10250,12,,,,,
Player 784,10150,15,,,,,
Player 790,11400,19,,,,,
Player 793,10100,12,,,,,
Player 798,10100,19,,,,,
Player 4,10100,21,,,,,
Player 9,10150,18,,,,,
Player 14,11650,20,,,,,
Player 17,10300,14,,,,,
Player 24,10400,20,,,,,
Player 26,10100,18,,,,,
Player 35,11300,21,,,,,
Player 36,10150,14,,,,,
Player 44,10150,13,,,,,
Player 47,10000,10,,,,,
Player 53,10150,17,,,,,
Player 56,10050,16,,,,,
Player 65,10000,22,,,,,
Player 68,10150,17,,,,,
Player 72,11550,15,,,,,
Player 80,10400,14,,,,,
Player 81,10000,14,,,,,
Player 90,12200,20,,,,,
Player 93,12900,19,,,,,
Player 99,10900,14,,,,,
Player 103,10100,14,,,,,
Player 110,10100,25,,,,,
Player 111,11100,17,,,,,
Player 117,11900,25,,,,,
Player 121,10600,17,,,,,
Player 129,13400,13,,,,,
Player 132,10750,15,,,,,
Player 138,10100,15,,,,,
Player 145,10150,9,,,,,
Player 146,10400,17,,,,,
Player 154,10300,12,,,,,
Player 159,10850,12,,,,,
Player 165,10400,18,,,,,
Player 169,10250,12,,,,,
Player 171,10250,15,,,,,
Player 177,10200,17,,,,,
Player 183,10500,14,,,,,
Player 186,10300,14,,,,,
Player 192,12050,16,,,,,
Player 199,10050,15,,,,,
Player 204,11400,21,,,,,
Player 207,10650,25,,,,,
Player 213,10050,15,,,,,
Player 216,11600,17,,,,,
Player 225,10100,19,,,,,
Player 227,10800,14,,,,,
Player 232,10550,21,,,,,
Player 238,11100,15,,,,,
Player 243,10000,14,,,,,
Player 250,10500,14,,,,,
Player 251,11500,15,,,,,
